Datetime,Symbol,Open,High,Low,Close,Volume
2025-06-30 20:03:00,QQQ,551.51,551.64,551.43,551.44,66703.0
2025-06-30 20:04:00,QQQ,551.43,551.46,551.35,551.35,71584.0
2025-06-30 20:05:00,QQQ,551.42,551.64,551.35,551.54,72173.0
2025-06-30 20:06:00,QQQ,551.59,551.59,551.42,551.49,37757.0
2025-06-30 20:07:00,QQQ,551.5,551.54,551.45,551.5203,6908.0
2025-06-30 20:08:00,QQQ,551.54,551.541,551.37,551.37,318399.0
2025-06-30 20:09:00,QQQ,551.36,551.41,551.3,551.4,23252.0
2025-06-30 20:10:00,QQQ,551.37,551.41,551.31,551.4,58416.0
2025-06-30 20:11:00,QQQ,551.36,551.39,551.32,551.34,9080.0
2025-06-30 20:12:00,QQQ,551.34,551.36,551.24,551.24,2052246.0
2025-06-30 20:13:00,QQQ,551.23,551.25,550.88,550.91,76466.0
2025-06-30 20:14:00,QQQ,550.92,551.07,550.83,551.05,103880.0
2025-06-30 20:15:00,QQQ,551.09,551.15,551.04,551.14,9149.0
2025-06-30 20:16:00,QQQ,551.15,551.311,551.14,551.31,51314.0
2025-06-30 20:17:00,QQQ,551.3,551.36,551.289,551.36,24206.0
2025-06-30 20:18:00,QQQ,551.36,551.36,551.32,551.33,14880.0
2025-06-30 20:19:00,QQQ,551.32,551.33,551.25,551.25,7254.0
2025-06-30 20:20:00,QQQ,551.28,551.31,551.27,551.31,1793.0
2025-06-30 20:21:00,QQQ,551.2408,551.2408,551.21,551.21,5395.0
2025-06-30 20:22:00,QQQ,551.21,551.23,551.17,551.2,12006.0
2025-06-30 20:23:00,QQQ,551.1993,551.2299,551.17,551.2299,5420.0
2025-06-30 20:24:00,QQQ,551.2,551.2,551.11,551.13,12517.0
2025-06-30 20:25:00,QQQ,551.15,551.19,551.07,551.15,10095.0
2025-06-30 20:26:00,QQQ,551.2,551.2,551.17,551.2,9207.0
2025-06-30 20:27:00,QQQ,551.2,551.2907,551.17,551.2907,2776.0
2025-06-30 20:28:00,QQQ,551.27,551.34,551.26,551.31,1215.0
2025-06-30 20:29:00,QQQ,551.35,551.35,551.27,551.27,4603.0
2025-06-30 20:30:00,QQQ,551.3,551.3,551.27,551.29,2684.0
2025-06-30 20:31:00,QQQ,551.37,551.4595,551.33,551.36,5060.0
2025-06-30 20:32:00,QQQ,551.38,551.39,551.35,551.39,934.0
2025-06-30 20:33:00,QQQ,551.4,551.44,551.4,551.44,2015.0
2025-06-30 20:34:00,QQQ,551.45,551.48,551.44,551.46,2033.0
2025-06-30 20:35:00,QQQ,551.47,551.509,551.47,551.49,10697.0
2025-06-30 20:36:00,QQQ,551.49,551.49,551.38,551.42,5943.0
2025-06-30 20:37:00,QQQ,551.43,551.44,551.42,551.44,3118.0
2025-06-30 20:38:00,QQQ,551.4,551.47,551.4,551.47,1755.0
2025-06-30 20:39:00,QQQ,551.46,551.53,551.46,551.5297,2543.0
2025-06-30 20:40:00,QQQ,551.5,551.57,551.5,551.55,1544.0
2025-06-30 20:41:00,QQQ,551.49,551.49,551.46,551.46,1012.0
